country,year,avg_science
France,2009,498.226893935058
France,2012,498.970895241648
France,2015,494.977600372005
France,2018,492.977073947315
France,2022,487.225278488872
Georgia,2015,411.131523912363
Georgia,2018,382.663606265958
Georgia,2022,384.06745910272497
Germany,2009,520.4053495352009
Germany,2012,524.120800352849
Germany,2015,509.14064717478
Germany,2018,502.988903303614
Germany,2022,492.426729471078
Greece,2009,470.11576423397696
Greece,2012,466.722030142801
Greece,2015,454.828816594835
Greece,2018,451.632741569971
Greece,2022,440.786060413427
Guatemala,2022,372.962753753076
Hong Kong (China),2009,549.028706594867
Hong Kong (China),2012,554.9374356519529
Hong Kong (China),2015,523.277447763458
Hong Kong (China),2018,516.686129558903
Hong Kong (China),2022,520.418679533154
Hungary,2009,502.642748252152
Hungary,2012,494.302352112894
Hungary,2015,476.747512404287
Hungary,2018,480.91169390704
Hungary,2022,485.890158368234
Iceland,2009,495.598498613644
Iceland,2012,478.15459739129693
Iceland,2015,473.230086197332
Iceland,2018,475.024106315381
Iceland,2022,446.96711422657296
Indonesia,2009,382.569451697687
Indonesia,2012,381.911484476433
Indonesia,2015,403.09974538369
Indonesia,2018,396.070053736032
Indonesia,2022,382.863412879874
International Average (OECD),2009,497.72256440588
International Average (OECD),2012,496.440510669172
International Average (OECD),2015,488.758044505115
International Average (OECD),2018,486.74027430638694
International Average (OECD),2022,484.646614468069
Ireland,2009,507.98415378913506
Ireland,2012,522.003960268129
Ireland,2015,502.575115488821
Ireland,2018,496.11356166765
Ireland,2022,503.845536949715
Israel,2009,454.85096320008
Israel,2012,470.072662819587
Israel,2015,466.55281218923
Israel,2018,462.196632784253
Israel,2022,464.75182530289106
Italy,2009,488.83136268583
Italy,2012,493.54148289396096
Italy,2015,480.546762410819
Italy,2018,468.011727289133
Italy,2022,477.46336566973906
Jamaica,2022,402.933961398207
Japan,2009,539.430993408373
Japan,2012,546.735600624006
Japan,2015,538.394751054492
Japan,2018,529.135433383587
Japan,2022,546.634453222391
Jordan,2009,415.38778340857493
Jordan,2012,409.36721468792496
Jordan,2015,408.669113259624
Jordan,2018,429.252073764784
Jordan,2022,374.527087031718
Kazakhstan,2009,400.376138721168
Kazakhstan,2012,424.707523321618
Kazakhstan,2015,456.48357585671494
Kazakhstan,2018,397.104835180016
Kazakhstan,2022,423.166045839152
Korea,2009,537.986230069057
Korea,2012,537.787622925751
Korea,2015,515.8099115269512
Korea,2018,519.007254858207
Korea,2022,527.822418277776
Kosovo,2015,378.442185110296
Kosovo,2018,364.882407565544
Kosovo,2022,357.024051594748
Latvia,2009,493.878923904221
Latvia,2012,502.186193644918
Latvia,2015,490.22501836099
Latvia,2018,487.25058821937
Latvia,2022,493.842767104977
Lebanon,2015,386.485372317364
Lebanon,2018,383.71699368918
Lithuania,2009,491.40979082965697
Lithuania,2012,495.700087663183
Lithuania,2015,475.408946495768
Lithuania,2018,482.067012707652
Lithuania,2022,484.46340599730496
Luxembourg,2009,483.9284208448
Luxembourg,2012,491.21517621529
Luxembourg,2015,482.80638360150897
Luxembourg,2018,476.76940591543803
Macao (China),2009,511.06959771977296
Macao (China),2012,520.570876903927
Macao (China),2015,528.549600196604
Macao (China),2018,543.585733607688
Macao (China),2022,543.096281389052
Malaysia,2012,419.50264855100096
Malaysia,2015,442.94752089009
Malaysia,2018,437.618073728241
Malaysia,2022,416.306115760844
Malta,2015,464.781964680804
Malta,2018,456.59032276356896
Malta,2022,465.588738609955
Mexico,2009,415.908672241096
Mexico,2012,414.920147876455
Mexico,2015,415.709882908356
Mexico,2018,419.20471927474
Mexico,2022,409.886598247444
Moldova,2015,427.997805693843
Moldova,2018,428.485266696765
Moldova,2022,416.858975096418
Mongolia,2022,412.382536637137
Montenegro,2009,401.277470042536
Montenegro,2012,410.097602389958
Montenegro,2015,411.313648204872
Montenegro,2018,415.172231371678
Montenegro,2022,403.130242006903
Morocco,2018,376.59688918913906
Morocco,2022,365.39807584989
Netherlands,2009,522.218128302406
Netherlands,2012,522.055822811447
Netherlands,2015,508.574806071928
Netherlands,2018,503.383819429651
Netherlands,2022,488.316836054184
New Zealand,2009,532.006901225863
New Zealand,2012,515.636319342748
New Zealand,2015,513.303512225244
New Zealand,2018,508.490721438946
New Zealand,2022,504.129304817581
North Macedonia,2015,383.68238756256306
North Macedonia,2018,413.044673659219
North Macedonia,2022,379.875105963173
Norway,2009,499.875699836175
Norway,2012,494.523935493638
Norway,2015,498.481109086114
Norway,2018,490.413149379895
Norway,2022,478.226464845544
Palestinian Authority,2022,368.815094540604
Panama,2018,364.623772441666
Panama,2022,387.767624287866
Paraguay,2022,368.32782471116
Peru,2009,369.351771460774
Peru,2012,373.113448089587
Peru,2015,396.683648469985
Peru,2018,404.215601005799
Peru,2022,407.777760861344
Philippines,2018,356.933324187825
Philippines,2022,356.167293001599
Poland,2009,508.068297201966
Poland,2012,525.8164468187849
Poland,2015,501.43533182058
Poland,2018,511.035561929964
Poland,2022,499.164361956791
Portugal,2009,492.94996731562895
Portugal,2012,489.274732961554
Portugal,2015,501.100062233805
Portugal,2018,491.677328499612
Portugal,2022,484.373464027815
Qatar,2009,379.446948928397
Qatar,2012,383.642552433473
Qatar,2015,417.61112992733
Qatar,2018,419.127154934749
Qatar,2022,432.402514772432
Romania,2009,428.17888493826894
Romania,2012,438.768057018932
Romania,2015,434.88486177709
Romania,2018,425.76122721586097
Romania,2022,427.511107495864
Russia,2009,478.29752995491697
Russia,2012,486.295491055597
Russia,2015,486.631040952501
Russia,2018,477.717680043488
Saudi Arabia,2018,386.246144905815
Saudi Arabia,2022,390.387615547686
Serbia,2018,439.873889636098
Serbia,2022,447.460664510345
Singapore,2009,541.695517866282
Singapore,2012,551.493157568047
Singapore,2015,555.5746795988849
Singapore,2018,550.936900098574
Singapore,2022,561.433274920652
Slovak Republic,2009,490.26592193522
Slovak Republic,2012,471.193177820336
Slovak Republic,2015,460.774855826437
Slovak Republic,2018,464.047578171596
Slovak Republic,2022,462.26948309170893
Slovenia,2009,511.759473097305
Slovenia,2012,514.142556003126
Slovenia,2015,512.8635786004089
Slovenia,2018,507.00654589979297
Slovenia,2022,499.964882599176
Spain,2009,488.254630231258
Spain,2012,496.445823971494
Spain,2015,492.786136115007
Spain,2018,483.252042660834
Spain,2022,484.533648398686
Sweden,2009,495.105897711928
Sweden,2012,484.79896659908496
Sweden,2015,493.42235622744
Sweden,2018,499.444690090783
Sweden,2022,493.549319133752
Switzerland,2009,516.567510121675
Switzerland,2012,515.297524406741
Switzerland,2015,505.505815533037
Switzerland,2018,495.276287907039
Switzerland,2022,502.523241539098
Thailand,2009,425.29628490511107
Thailand,2012,443.99993513187695
Thailand,2015,421.33732595235296
Thailand,2018,425.813449524845
Thailand,2022,409.26430873803
Trinidad and Tobago,2009,410.195617344221
Trinidad and Tobago,2015,424.59045455802
Tunisia,2009,400.66148407711506
Tunisia,2012,398.04645090805695
Tunisia,2015,386.403366649708
Türkiye,2009,453.909718095559
Türkiye,2012,463.412909825288
Türkiye,2015,425.48950886493697
Türkiye,2018,468.299618007131
Türkiye,2022,475.937802055769
Ukraine,2018,468.987742525377
Ukraine (18 of 27 Regions),2022,450.187238031066
United Arab Emirates,2012,448.370296939891
United Arab Emirates,2015,436.73114798194
United Arab Emirates,2018,433.63680283995893
United Arab Emirates,2022,431.97947107206
United Kingdom,2009,513.710239932962
United Kingdom,2012,514.12932195947
United Kingdom,2015,509.221502941919
United Kingdom,2018,504.667473644287
United Kingdom,2022,499.670213901327
United States,2009,502.002264543982
United States,2012,497.409812370845
United States,2015,496.242434164887
United States,2018,502.380031938141
United States,2022,499.414063865778
Uruguay,2009,427.214249777703
Uruguay,2012,415.842936126206
Uruguay,2015,435.362956251627
Uruguay,2018,425.812676583986
Uruguay,2022,435.384772913567
Uzbekistan,2022,354.863565011852
Viet Nam,2012,528.423261950012
Viet Nam,2015,524.644519498469
Viet Nam,2022,472.380961495777
